"Date","Section","CrimeType"
"2016-07-19","Sec 4","Larceny"
"2017-08-17","Sec 1","Aggravated Assault"
"2016-02-21","Sec 2","Aggravated Assault"
"2018-05-27","Sec 5","Larceny"
"2019-07-13","Sec 5","Burglary"
"2018-09-01","Sec 2","Aggravated Assault"
"2019-12-22","Sec 5","Larceny"
"2016-04-15","Sec 2","Burglary"
"2017-03-28","Sec 6","Burglary"
"2018-02-22","Sec 4","Robbery"
"2016-05-28","Sec 1","MVT"
"2016-07-17","Sec 1","Larceny"
"2019-03-26","Sec 1","Burglary"
"2018-07-14","Sec 1","Larceny"
"2017-05-17","Sec 2","Aggravated Assault"
"2016-02-02","Sec 2","Larceny"
"2017-12-12","Sec 2","Larceny"
"2018-05-24","Sec 1","Aggravated Assault"
"2017-10-11","Sec 3","Larceny"
"2017-10-20","Sec 4","Burglary"
"2018-10-22","Sec 1","Aggravated Assault"
"2017-04-15","Sec 3","MVT"
"2017-02-07","Sec 5","Aggravated Assault"
"2019-11-27","Sec 2","Burglary"
"2019-02-05","Sec 2","Larceny"
"2018-04-13","Sec 3","Burglary"
"2017-10-17","Sec 1","Larceny"
"2017-04-22","Sec 3","Homicide"
"2016-03-17","Sec 1","Larceny"
"2018-10-13","Sec 1","Aggravated Assault"
"2018-04-21","Sec 2","Larceny"
"2019-06-27","Sec 1","Robbery"
"2019-11-16","Sec 2","Homicide"
"2016-11-27","Sec 2","Larceny"
"2016-08-05","Sec 2","Robbery"
"2016-11-23","Sec 1","MVT"
"2018-09-28","Sec 3","Larceny"
"2018-07-07","Sec 3","Aggravated Assault"
"2017-12-17","Sec 1","Robbery"
"2019-11-14","Sec 1","Larceny"
"2019-07-25","Sec 1","Aggravated Assault"
"2017-10-28","Sec 1","MVT"
"2016-07-09","Sec 1","Larceny"
"2016-01-24","Sec 2","Robbery"
"2018-03-29","Sec 2","Aggravated Assault"
"2017-03-22","Sec 5","Burglary"
"2019-11-11","Sec 4","Larceny"
"2017-05-22","Sec 2","Aggravated Assault"
"2018-05-28","Sec 5","Aggravated Assault"
"2016-04-20","Sec 3","Burglary"
"2019-09-26","Sec 4","Burglary"
"2018-05-30","Sec 4","Burglary"
"2019-08-17","Sec 4","Larceny"
"2016-08-29","Sec 1","Aggravated Assault"
"2018-09-24","Sec 6","Burglary"
"2016-08-09","Sec 4","Larceny"
"2018-06-12","Sec 1","MVT"
"2018-03-20","Sec 2","Larceny"
"2016-03-23","Sec 5","Larceny"
"2019-10-15","Sec 1","Larceny"
"2016-10-26","Sec 5","Larceny"
"2016-04-11","Sec 3","Larceny"
"2019-09-12","Sec 1","Robbery"
"2017-01-18","Sec 1","Robbery"
"2018-03-16","Sec 2","Aggravated Assault"
"2018-12-21","Sec 5","Larceny"
"2018-02-21","Sec 3","Larceny"
"2017-06-12","Sec 3","MVT"
"2019-10-14","Sec 2","Burglary"
"2018-03-04","Sec 6","Larceny"
"2018-05-21","Sec 1","Robbery"
"2019-04-25","Sec 6","Robbery"
"2018-12-10","Sec 3","Larceny"
"2018-01-01","Sec 2","Robbery"
"2019-01-26","Sec 2","Larceny"
"2017-12-29","Sec 4","Larceny"
"2017-06-20","Sec 2","Larceny"
"2018-03-20","Sec 6","Homicide"
"2016-04-29","Sec 2","Aggravated Assault"
"2017-07-25","Sec 1","Aggravated Assault"
"2017-11-07","Sec 1","Larceny"
"2016-03-10","Sec 1","Robbery"
"2019-12-11","Sec 1","Homicide"
"2018-08-02","Sec 2","MVT"
"2016-03-12","Sec 2","Burglary"
"2018-11-05","Sec 6","Burglary"
